File: lockd
Build ID: e4d61a645a1f2bc729cb1865a9a8fa7f759a8ceb
Type: cpu
Time: 2026-01-28 11:41:28 CET
Duration: 5.12s, Total samples = 6.46s (126.15%)
Showing nodes accounting for 4.37s, 67.65% of 6.46s total
Dropped 535 nodes (cum <= 0.03s)
      flat  flat%   sum%        cum   cum%
         0     0% 67.65%      0.18s  2.79%  pkt.systems/lockd/internal/qrf.(*Controller).Decide
         0     0% 67.65%      0.18s  2.79%  pkt.systems/lockd/internal/qrf.(*Controller).recordDecision (inline)
         0     0% 67.65%      0.21s  3.25%  pkt.systems/lockd/internal/storage.(*CommitGroup).Wait
         0     0% 67.65%      0.10s  1.55%  pkt.systems/lockd/internal/storage.(*Crypto).EncryptMetadata
         0     0% 67.65%      0.04s  0.62%  pkt.systems/lockd/internal/storage.(*Crypto).MaterialFromDescriptor
         0     0% 67.65%      0.06s  0.93%  pkt.systems/lockd/internal/storage.(*Crypto).MintMaterial
         0     0% 67.65%      0.53s  8.20%  pkt.systems/lockd/internal/storage.(*defaultStagingBackend).PromoteStagedState
         0     0% 67.65%      0.21s  3.25%  pkt.systems/lockd/internal/storage.(*defaultStagingBackend).StageState
         0     0% 67.65%      0.06s  0.93%  pkt.systems/lockd/internal/storage.(*materialWriteCloser).Close
         0     0% 67.65%      0.16s  2.48%  pkt.systems/lockd/internal/storage.MarshalMetaRecord
         0     0% 67.65%      0.06s  0.93%  pkt.systems/lockd/internal/storage/disk.(*Store).DeleteObject
         0     0% 67.65%      0.06s  0.93%  pkt.systems/lockd/internal/storage/disk.(*Store).LoadMeta
         0     0% 67.65%      0.11s  1.70%  pkt.systems/lockd/internal/storage/disk.(*Store).PutObject
         0     0% 67.65%      0.05s  0.77%  pkt.systems/lockd/internal/storage/disk.(*Store).Remove
         0     0% 67.65%      0.54s  8.36%  pkt.systems/lockd/internal/storage/disk.(*Store).WriteState
         0     0% 67.65%      0.17s  2.63%  pkt.systems/lockd/internal/storage/disk.(*Store).loggers
         0     0% 67.65%      0.06s  0.93%  pkt.systems/lockd/internal/storage/disk.(*fsyncBatcher).batchLoop
         0     0% 67.65%      0.06s  0.93%  pkt.systems/lockd/internal/storage/disk.(*fsyncBatcher).processBatch
         0     0% 67.65%      0.14s  2.17%  pkt.systems/lockd/internal/storage/disk.(*logNamespace).appendInline
         0     0% 67.65%      0.54s  8.36%  pkt.systems/lockd/internal/storage/disk.(*logNamespace).appendRecord
         0     0% 67.65%      0.05s  0.77%  pkt.systems/lockd/internal/storage/disk.(*logNamespace).applyPendingLocked
         0     0% 67.65%      0.06s  0.93%  pkt.systems/lockd/internal/storage/disk.(*logNamespace).commitPendingNoSync
         0     0% 67.65%      0.33s  5.11%  pkt.systems/lockd/internal/storage/disk.(*logNamespace).flushAppends
         0     0% 67.65%      0.04s  0.62%  pkt.systems/lockd/internal/storage/disk.(*logNamespace).flushAppends.func2
         0     0% 67.65%      0.05s  0.77%  pkt.systems/lockd/internal/storage/disk.(*logNamespace).loadManifestLocked
         0     0% 67.65%      0.05s  0.77%  pkt.systems/lockd/internal/storage/disk.(*logNamespace).openPayloadReader
         0     0% 67.65%      0.13s  2.01%  pkt.systems/lockd/internal/storage/disk.(*logNamespace).refreshForce (inline)
         0     0% 67.65%      0.14s  2.17%  pkt.systems/lockd/internal/storage/disk.(*logNamespace).refreshWithMode
         0     0% 67.65%      0.05s  0.77%  pkt.systems/lockd/internal/storage/disk.(*logNamespace).resolvePayloadSpan
         0     0% 67.65%      0.04s  0.62%  pkt.systems/lockd/internal/storage/disk.(*logNamespace).scanSegmentsLocked
         0     0% 67.65%      0.07s  1.08%  pkt.systems/lockd/internal/storage/disk.(*segmentReader).Read
         0     0% 67.65%      0.09s  1.39%  pkt.systems/lockd/internal/storage/disk.readPayloadInline
         0     0% 67.65%      0.04s  0.62%  pkt.systems/lockd/internal/storage/disk.syncFile
         0     0% 67.65%      0.06s  0.93%  pkt.systems/lockd/internal/storage/retry.(*backend).DeleteObject
         0     0% 67.65%      0.06s  0.93%  pkt.systems/lockd/internal/storage/retry.(*backend).DeleteObject.func1
         0     0% 67.65%      0.07s  1.08%  pkt.systems/lockd/internal/storage/retry.(*backend).LoadMeta
         0     0% 67.65%      0.06s  0.93%  pkt.systems/lockd/internal/storage/retry.(*backend).LoadMeta.func1
         0     0% 67.65%      0.11s  1.70%  pkt.systems/lockd/internal/storage/retry.(*backend).PutObject
         0     0% 67.65%      0.11s  1.70%  pkt.systems/lockd/internal/storage/retry.(*backend).PutObject.func1
         0     0% 67.65%      0.19s  2.94%  pkt.systems/lockd/internal/storage/retry.(*backend).ReadState
         0     0% 67.65%      0.19s  2.94%  pkt.systems/lockd/internal/storage/retry.(*backend).ReadState.func1
         0     0% 67.65%      0.05s  0.77%  pkt.systems/lockd/internal/storage/retry.(*backend).Remove
         0     0% 67.65%      0.05s  0.77%  pkt.systems/lockd/internal/storage/retry.(*backend).Remove.func1
         0     0% 67.65%      0.38s  5.88%  pkt.systems/lockd/internal/storage/retry.(*backend).StoreMeta
         0     0% 67.65%      0.38s  5.88%  pkt.systems/lockd/internal/storage/retry.(*backend).StoreMeta.func1
         0     0% 67.65%      0.54s  8.36%  pkt.systems/lockd/internal/storage/retry.(*backend).WriteState
         0     0% 67.65%      0.54s  8.36%  pkt.systems/lockd/internal/storage/retry.(*backend).WriteState.func1
         0     0% 67.65%      0.04s  0.62%  pkt.systems/lockd/internal/uuidv7.New (inline)
         0     0% 67.65%      0.04s  0.62%  pkt.systems/lockd/namespaces.NormalizeKey
         0     0% 67.65%      0.21s  3.25%  pkt.systems/pslog.(*jsonPlainLogger).With
         0     0% 67.65%      0.13s  2.01%  pkt.systems/pslog.(*jsonPlainLogger).rebuildBasePayload
         0     0% 67.65%      0.10s  1.55%  pkt.systems/pslog.appendJSONValuePlain
         0     0% 67.65%      0.13s  2.01%  pkt.systems/pslog.encodeBaseJSONPlain
         0     0% 67.65%      0.05s  0.77%  pkt.systems/pslog.writePTJSONString
         0     0% 67.65%      0.05s  0.77%  pkt.systems/pslog.writePTLogValue
         0     0% 67.65%      0.17s  2.63%  runtime.(*mcache).nextFree
         0     0% 67.65%      0.10s  1.55%  runtime.(*mcentral).cacheSpan
         0     0% 67.65%      0.06s  0.93%  runtime.(*mcentral).grow
         0     0% 67.65%      0.04s  0.62%  runtime.(*mcentral).uncacheSpan
         0     0% 67.65%      0.04s  0.62%  runtime.(*mheap).alloc.func1
         0     0% 67.65%      0.06s  0.93%  runtime.(*mheap).allocSpan
         0     0% 67.65%      0.04s  0.62%  runtime.(*mspan).typePointersOfUnchecked
         0     0% 67.65%      0.07s  1.08%  runtime.(*unwinder).next
         0     0% 67.65%      0.06s  0.93%  runtime.bgsweep
         0     0% 67.65%      0.11s  1.70%  runtime.chansend1
         0     0% 67.65%      0.07s  1.08%  runtime.concatstrings
         0     0% 67.65%      0.04s  0.62%  runtime.convT64
         0     0% 67.65%      0.26s  4.02%  runtime.copystack
         0     0% 67.65%      0.14s  2.17%  runtime.futexwakeup
         0     0% 67.65%      0.75s 11.61%  runtime.gcBgMarkWorker
         0     0% 67.65%      0.75s 11.61%  runtime.gcBgMarkWorker.func2
         0     0% 67.65%      0.26s  4.02%  runtime.gcDrainMarkWorkerDedicated (inline)
